"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 09 13:31:56 CST 2021","Fri Apr 09 13:31:56 CST 2021","42","test","test_api","TestApiAuto","","","查询用户信息",""
"passed","Fri Apr 09 13:31:57 CST 2021","Fri Apr 09 13:31:57 CST 2021","42","test","test_api","TestApiAuto","","","get请求查询用户数据列表",""
"passed","Fri Apr 09 13:31:55 CST 2021","Fri Apr 09 13:31:55 CST 2021","141","test","test_api","TestApiAuto","","","get请求查询用户数据列表",""
"passed","Fri Apr 09 13:31:57 CST 2021","Fri Apr 09 13:31:57 CST 2021","160","test","test_api","TestApiAuto","","","post请求实现登录",""
"failed","Fri Apr 09 13:31:57 CST 2021","Fri Apr 09 13:31:57 CST 2021","39","test","test_api","TestApiAuto","","","post请求实现登录",""
"failed","Fri Apr 09 13:31:56 CST 2021","Fri Apr 09 13:31:56 CST 2021","39","test","test_api","TestApiAuto","","","查询用户信息",""
"failed","Fri Apr 09 13:31:56 CST 2021","Fri Apr 09 13:31:56 CST 2021","39","test","test_api","TestApiAuto","","","修改用户状态为false",""
"failed","Fri Apr 09 13:31:56 CST 2021","Fri Apr 09 13:31:56 CST 2021","38","test","test_api","TestApiAuto","","","修改用户状态接口",""
"passed","Fri Apr 09 13:31:55 CST 2021","Fri Apr 09 13:31:55 CST 2021","145","test","test_api","TestApiAuto","","","get请求查询用户数据列表",""
"passed","Fri Apr 09 13:31:56 CST 2021","Fri Apr 09 13:31:56 CST 2021","157","test","test_api","TestApiAuto","","","get请求查询用户数据列表",""
"passed","Fri Apr 09 13:31:55 CST 2021","Fri Apr 09 13:31:55 CST 2021","157","test","test_api","TestApiAuto","","","post请求实现登录",""
"passed","Fri Apr 09 13:31:56 CST 2021","Fri Apr 09 13:31:56 CST 2021","167","test","test_api","TestApiAuto","","","测试请求数据与依赖数据相同key的情况",""
"failed","Fri Apr 09 13:31:56 CST 2021","Fri Apr 09 13:31:56 CST 2021","36","test","test_api","TestApiAuto","","","添加用户2正常接口数据",""
"failed","Fri Apr 09 13:31:56 CST 2021","Fri Apr 09 13:31:56 CST 2021","36","test","test_api","TestApiAuto","","","删除用户zy7y",""
"passed","Fri Apr 09 13:31:55 CST 2021","Fri Apr 09 13:31:55 CST 2021","72","test","test_api","TestApiAuto","","","get请求实现登录",""
"passed","Fri Apr 09 13:31:56 CST 2021","Fri Apr 09 13:31:56 CST 2021","40","test","test_api","TestApiAuto","","","修改用户状态接口",""
"passed","Fri Apr 09 13:31:56 CST 2021","Fri Apr 09 13:31:57 CST 2021","139","test","test_api","TestApiAuto","","","get请求查询用户数据列表",""
"failed","Fri Apr 09 13:31:56 CST 2021","Fri Apr 09 13:31:56 CST 2021","40","test","test_api","TestApiAuto","","","post请求实现登录",""
"failed","Fri Apr 09 13:31:55 CST 2021","Fri Apr 09 13:31:55 CST 2021","43","test","test_api","TestApiAuto","","","添加用户正常接口数据",""
